,price,bedrooms,bathrooms,sqft_living,floors,view,grade,sqft_above,sqft_basement,lat,long,sqft_living15,WaterFront,month_sold,age,yrs_reno,Renovated,dist_to_Seattle,Bellevue,Federal Way,Kent,Renton,Seattle,rel_size
12077,257000.0,3,1.75,1540,1.0,0.0,7,1070,470,47.3666,-122.089,1240,0,3,28,28.0,0,20.24,0,0,1,0,0,1.2419354838709677
12079,490000.0,3,1.0,1260,2.0,0.0,7,1260,0,47.6773,-122.178,1760,0,11,94,94.0,0,8.74,1,0,0,0,0,0.7159090909090909
12080,299000.0,2,1.5,1160,2.0,0.0,7,1160,0,47.7255,-122.164,1410,0,2,32,32.0,0,11.36,1,0,0,0,0,0.8226950354609929
12082,630000.0,4,2.5,3220,2.0,0.0,8,3220,0,47.6261,-122.04700000000001,2550,0,10,36,36.0,0,13.47,1,0,0,0,0,1.2627450980392156
12083,320000.0,4,1.5,2020,1.0,0.0,7,1010,1010,47.4579,-122.17,1720,0,4,53,53.0,0,12.91,0,0,0,1,0,1.1744186046511629
12085,398000.0,4,1.0,1420,1.0,0.0,7,1420,0,47.6988,-122.35799999999999,1670,0,9,61,61.0,0,6.36,0,0,0,0,1,0.8502994011976048
12086,218000.0,3,1.0,1020,1.0,0.0,7,1020,0,47.5175,-122.346,1290,0,5,58,58.0,0,6.27,0,0,0,0,1,0.7906976744186046
12089,348500.0,2,2.25,1550,2.0,0.0,8,1550,0,47.5396,-122.368,1460,0,12,7,7.0,0,4.97,0,0,0,0,1,1.0616438356164384
12090,592500.0,2,2.0,1870,1.0,0.0,8,1870,0,47.7082,-122.015,2170,0,7,8,8.0,0,16.42,1,0,0,0,0,0.8617511520737328
12091,505000.0,3,2.5,2340,2.0,0.0,8,2340,0,47.7347,-122.236,2340,0,6,19,19.0,0,9.89,1,0,0,0,0,1.0
12093,502000.0,3,1.0,1710,1.0,0.0,7,1140,570,47.5719,-122.385,1670,0,7,93,93.0,0,3.41,0,0,0,0,1,1.0239520958083832
12095,405000.0,3,1.5,1600,1.0,0.0,7,1600,0,47.721000000000004,-122.182,1700,0,7,48,48.0,0,10.56,1,0,0,0,0,0.9411764705882353
12096,427000.0,3,1.75,1300,1.0,0.0,7,1300,0,47.7005,-122.314,1370,0,3,56,56.0,0,6.46,0,0,0,0,1,0.948905109489051
12097,290000.0,3,1.5,1040,1.0,0.0,7,1040,0,47.7583,-122.302,1040,0,12,59,59.0,0,10.49,0,0,0,0,1,1.0
12098,222000.0,3,1.0,1220,1.0,0.0,7,1220,0,47.5191,-122.339,1210,0,3,61,61.0,0,6.14,0,0,0,0,1,1.0082644628099173
12099,315000.0,3,2.5,2240,2.0,0.0,8,2240,0,47.3503,-122.042,2240,0,12,12,12.0,0,22.44,0,0,1,0,0,1.0
12100,371000.0,3,1.5,1420,1.0,0.0,7,1420,0,47.693999999999996,-122.33200000000001,1540,0,6,55,55.0,0,5.94,0,0,0,0,1,0.922077922077922
12101,279900.0,3,1.75,1580,1.0,0.0,7,1580,0,47.2798,-122.303,1580,0,6,26,26.0,0,22.71,0,1,0,0,0,1.0
12105,585000.0,2,1.75,1830,1.0,2.0,7,1070,760,47.5592,-122.273,1570,0,12,65,65.0,0,4.44,0,0,0,0,1,1.1656050955414012
12106,350000.0,3,1.75,1000,1.0,0.0,6,1000,0,47.7417,-122.17200000000001,1220,0,4,46,46.0,0,11.95,1,0,0,0,0,0.819672131147541
12107,506000.0,3,1.75,2180,1.0,0.0,8,1480,700,47.7594,-122.361,2180,0,6,53,53.0,0,10.52,0,0,0,0,1,1.0
12109,151100.0,3,1.0,840,1.0,0.0,6,840,0,47.496,-122.34899999999999,1260,0,11,93,93.0,0,7.76,0,0,0,1,0,0.6666666666666666
12110,251000.0,3,1.0,840,1.0,0.0,6,840,0,47.496,-122.34899999999999,1260,0,4,94,94.0,0,7.76,0,0,0,1,0,0.6666666666666666
12111,555000.0,4,2.25,2350,1.0,0.0,8,1430,920,47.5579,-122.12899999999999,2640,0,5,37,37.0,0,10.21,1,0,0,0,0,0.8901515151515151
12114,247000.0,5,2.0,1590,1.0,0.0,7,1060,530,47.3398,-122.286,1460,0,4,53,53.0,0,18.66,0,1,0,0,0,1.0890410958904109
12116,306888.0,4,1.5,1940,1.5,0.0,7,1270,670,47.7297,-122.32600000000001,1960,0,5,35,35.0,0,8.41,0,0,0,0,1,0.9897959183673469
12118,577000.0,2,1.0,1090,1.5,0.0,7,1090,0,47.6638,-122.292,2080,0,4,68,68.0,0,4.34,0,0,0,0,1,0.5240384615384616
12119,219950.0,3,1.5,1650,1.0,0.0,7,1090,560,47.3285,-122.32799999999999,1560,0,5,47,47.0,0,19.3,0,1,0,0,0,1.0576923076923077
12120,375000.0,3,1.5,1110,1.0,0.0,6,1110,0,47.6717,-122.184,1670,0,7,74,74.0,0,8.29,1,0,0,0,0,0.6646706586826348
12121,650000.0,4,2.5,2110,1.0,0.0,7,1530,580,47.6882,-122.306,1420,0,11,72,72.0,0,5.7,0,0,0,0,1,1.4859154929577465
12123,229000.0,1,1.0,600,1.0,0.0,6,600,0,47.5558,-122.363,1480,0,4,95,95.0,0,3.83,0,0,0,0,1,0.40540540540540543
12124,575000.0,5,2.5,2760,1.5,0.0,8,1730,1030,47.6074,-122.29899999999999,1680,0,9,88,0.0,1,1.68,0,0,0,0,1,1.6428571428571428
12127,471000.0,3,2.5,2030,2.0,0.0,8,1720,310,47.5305,-122.04700000000001,1670,0,6,13,13.0,0,14.45,0,0,0,1,0,1.215568862275449
12128,450000.0,4,1.75,2160,1.0,0.0,8,1260,900,47.6893,-122.38799999999999,1670,0,6,72,72.0,0,6.13,0,0,0,0,1,1.2934131736526946
12129,590000.0,3,2.0,1650,2.0,0.0,7,1650,0,47.5713,-122.39399999999999,1280,0,5,88,21.0,1,3.73,0,0,0,0,1,1.2890625
12130,744000.0,4,2.5,3140,2.0,0.0,8,2200,940,47.5664,-122.124,2860,0,8,10,10.0,0,10.24,1,0,0,0,0,1.097902097902098
12132,299000.0,5,2.5,1940,1.0,0.0,7,1290,650,47.7438,-122.32799999999999,1810,0,3,55,55.0,0,9.38,0,0,0,0,1,1.0718232044198894
12133,231000.0,4,1.0,1220,1.5,0.0,6,1220,0,47.205,-121.99600000000001,1540,0,1,75,75.0,0,32.02,0,0,1,0,0,0.7922077922077922
12134,195000.0,3,1.0,1300,1.0,0.0,6,1300,0,47.3037,-122.10700000000001,1150,0,8,39,39.0,0,23.56,0,0,1,0,0,1.1304347826086956
12136,895000.0,4,1.5,3390,2.0,0.0,8,2530,860,47.58,-122.29,3080,0,3,99,99.0,0,2.86,0,0,0,0,1,1.1006493506493507
12138,339000.0,2,1.0,950,1.0,0.0,7,950,0,47.556999999999995,-122.306,1180,0,6,73,73.0,0,3.78,0,0,0,0,1,0.8050847457627118
12139,885000.0,4,3.75,2400,1.0,0.0,7,1370,1030,47.6295,-122.346,2230,0,4,91,91.0,0,1.57,0,0,0,0,1,1.0762331838565022
12140,375000.0,3,1.0,1780,1.5,0.0,6,1050,730,47.5119,-122.38600000000001,1260,0,11,70,70.0,0,7.05,0,0,0,0,1,1.4126984126984128
12141,367400.0,4,1.5,1280,1.0,0.0,7,1280,0,47.6023,-122.12299999999999,1310,0,8,56,56.0,0,9.88,1,0,0,0,0,0.9770992366412213
12142,700000.0,4,2.0,1930,1.0,0.0,7,1430,500,47.646,-122.363,1910,0,4,62,62.0,0,2.93,0,0,0,0,1,1.0104712041884816
12143,667000.0,5,2.25,2560,1.0,0.0,8,1870,690,47.5819,-122.126,2070,0,1,49,49.0,0,9.9,1,0,0,0,0,1.2367149758454106
12144,200000.0,2,1.0,920,1.0,0.0,6,920,0,47.5177,-122.266,1210,0,12,108,108.0,0,7.02,0,0,0,1,0,0.7603305785123967
12148,601500.0,3,1.75,1460,1.0,0.0,8,1460,0,47.6709,-122.167,2240,0,2,47,15.0,1,8.95,1,0,0,0,0,0.6517857142857143
12150,340000.0,4,2.5,2810,2.0,0.0,9,2810,0,47.333,-122.17200000000001,2660,0,4,17,17.0,0,20.46,0,0,1,0,0,1.056390977443609
12151,310000.0,3,2.5,2370,2.0,0.0,8,2370,0,47.2703,-122.31200000000001,1870,0,8,20,20.0,0,23.34,0,1,0,0,0,1.267379679144385
12153,438000.0,2,1.0,1630,1.0,0.0,7,1630,0,47.7222,-122.33200000000001,1800,0,4,74,74.0,0,7.89,0,0,0,0,1,0.9055555555555556
12154,718000.0,4,2.75,2930,1.0,0.0,8,1660,1270,47.5841,-122.295,2200,0,2,76,76.0,0,2.49,0,0,0,0,1,1.3318181818181818
12155,200000.0,2,1.0,860,1.0,0.0,6,860,0,47.4878,-122.324,1030,0,6,65,65.0,0,8.32,0,0,0,1,0,0.8349514563106796
12156,479900.0,3,2.0,1980,1.0,0.0,9,1980,0,47.3657,-122.152,2200,0,5,20,20.0,0,18.79,0,0,1,0,0,0.9
12157,400000.0,3,2.5,2080,2.0,0.0,9,2080,0,47.4395,-122.15100000000001,2550,0,4,28,28.0,0,14.46,0,0,0,1,0,0.8156862745098039
12158,219950.0,3,1.0,1060,1.0,0.0,7,1060,0,47.4434,-122.28299999999999,1130,0,3,58,58.0,0,11.62,0,0,0,1,0,0.9380530973451328
12159,300000.0,3,2.5,1590,2.0,0.0,7,1590,0,47.7344,-121.986,1820,0,8,14,14.0,0,18.43,1,0,0,0,0,0.8736263736263736
12160,437000.0,3,2.25,1980,1.0,0.0,7,1290,690,47.7753,-122.359,1550,0,8,55,55.0,0,11.6,0,0,0,0,1,1.2774193548387096
12161,350000.0,4,2.0,1720,1.0,0.0,7,860,860,47.7307,-122.23899999999999,1250,0,7,43,43.0,0,9.58,1,0,0,0,0,1.376
12162,626000.0,4,1.75,1350,1.0,0.0,7,1350,0,47.6335,-122.196,1890,0,9,60,60.0,0,6.71,1,0,0,0,0,0.7142857142857143
12163,490000.0,3,2.5,2080,2.0,0.0,8,2080,0,47.7455,-122.073,2320,0,2,37,37.0,0,15.45,1,0,0,0,0,0.896551724137931
12164,289000.0,3,2.5,2090,2.0,0.0,8,2090,0,47.3724,-122.104,2740,0,5,12,12.0,0,19.52,0,0,1,0,0,0.7627737226277372
12165,595000.0,3,2.5,2030,2.0,0.0,7,2030,0,47.6594,-122.397,1790,0,11,6,6.0,0,4.57,0,0,0,0,1,1.1340782122905029
12167,389000.0,3,1.75,1820,1.0,0.0,7,1220,600,47.7466,-122.355,1940,0,4,35,35.0,0,9.61,0,0,0,0,1,0.9381443298969072
12168,240000.0,3,2.0,1300,1.0,0.0,7,1300,0,47.3837,-122.304,1630,0,9,31,31.0,0,15.56,0,0,1,0,0,0.7975460122699386
12169,382500.0,4,2.5,2210,2.0,0.0,8,2210,0,47.4206,-122.18299999999999,1970,0,6,21,21.0,0,14.76,0,0,1,0,0,1.1218274111675126
12170,511555.0,3,2.0,1400,1.0,0.0,7,1400,0,47.58600000000001,-122.12,1600,0,5,51,51.0,0,10.13,1,0,0,0,0,0.875
12171,710500.0,3,1.75,2040,1.5,0.0,8,1540,500,47.6608,-122.359,1620,0,9,97,97.0,0,3.81,0,0,0,0,1,1.2592592592592593
12173,170000.0,4,1.75,1920,1.0,0.0,7,1920,0,47.4222,-122.318,1490,0,7,52,52.0,0,12.85,0,0,1,0,0,1.2885906040268456
12175,480000.0,5,2.75,2760,1.0,0.0,7,1430,1330,47.7563,-122.147,2460,0,4,36,36.0,0,13.47,1,0,0,0,0,1.1219512195121952
12177,225000.0,3,1.0,1040,1.0,0.0,6,1040,0,47.4906,-122.306,1100,0,5,67,67.0,0,8.22,0,0,0,1,0,0.9454545454545454
12178,615000.0,3,1.75,2220,1.0,2.0,8,2040,180,47.773999999999994,-122.384,2540,0,12,39,39.0,0,11.68,0,0,0,0,1,0.8740157480314961
12180,242000.0,3,1.75,1300,1.0,0.0,7,1300,0,47.3448,-122.29799999999999,1400,0,3,53,53.0,0,18.26,0,1,0,0,0,0.9285714285714286
12181,560000.0,3,2.5,1960,1.0,0.0,8,1460,500,47.6339,-122.02600000000001,1960,0,7,25,25.0,0,14.5,1,0,0,0,0,1.0
12182,857500.0,3,1.5,2040,2.0,2.0,8,2040,0,47.6658,-122.355,1540,0,10,86,86.0,0,4.1,0,0,0,0,1,1.3246753246753247
12183,685000.0,4,2.5,3030,2.0,0.0,9,3030,0,47.6075,-122.01700000000001,2790,0,5,15,15.0,0,14.81,1,0,0,0,0,1.086021505376344
12184,486000.0,4,3.0,2260,2.0,0.0,7,2260,0,47.7297,-122.219,2200,0,4,38,38.0,0,9.99,1,0,0,0,0,1.0272727272727273
12185,749000.0,3,2.5,2670,2.0,0.0,9,2670,0,47.6599,-122.146,2670,0,6,27,27.0,0,9.5,1,0,0,0,0,1.0
12186,260000.0,3,2.5,1520,2.0,0.0,7,1520,0,47.3687,-122.182,1670,0,11,28,28.0,0,18.0,0,0,1,0,0,0.9101796407185628
12188,565000.0,3,1.75,1130,1.0,0.0,7,930,200,47.6379,-122.4,1360,0,3,73,73.0,0,3.66,0,0,0,0,1,0.8308823529411765
12189,355000.0,3,2.0,1480,2.0,0.0,7,1480,0,47.6969,-122.338,1850,0,10,23,23.0,0,6.14,0,0,0,0,1,0.8
12190,775000.0,5,2.0,3540,2.0,3.0,9,3540,0,47.7108,-122.277,2280,0,7,44,44.0,0,7.59,0,0,0,0,1,1.5526315789473684
12191,335000.0,4,2.25,2100,1.0,0.0,7,1050,1050,47.4676,-122.296,1760,0,4,52,52.0,0,9.87,0,0,0,1,0,1.1931818181818181
12193,545000.0,3,1.75,1810,1.5,0.0,7,1810,0,47.6599,-122.363,1140,0,6,111,111.0,0,3.81,0,0,0,0,1,1.587719298245614
12194,540000.0,3,1.75,1680,1.5,0.0,7,1680,0,47.5745,-122.311,1460,0,11,88,88.0,0,2.57,0,0,0,0,1,1.1506849315068493
12195,687500.0,3,1.75,2450,1.0,2.0,8,1540,910,47.7296,-122.28399999999999,2520,0,9,52,52.0,0,8.73,0,0,0,0,1,0.9722222222222222
12196,115000.0,1,2.0,1150,1.0,0.0,7,1150,0,47.2951,-122.28399999999999,1200,0,7,52,52.0,0,21.74,0,1,0,0,0,0.9583333333333334
12197,227000.0,1,2.0,1150,1.0,0.0,7,1150,0,47.2951,-122.28399999999999,1200,0,11,52,52.0,0,21.74,0,1,0,0,0,0.9583333333333334
12200,375000.0,4,2.5,2800,2.0,0.0,9,2800,0,47.3596,-122.036,2960,0,9,8,8.0,0,22.11,0,0,1,0,0,0.9459459459459459
12201,902000.0,3,2.75,3240,1.0,2.0,8,1620,1620,47.567,-122.273,2700,0,8,54,54.0,0,4.05,0,0,0,0,1,1.2
12202,269500.0,2,1.5,1480,1.0,0.0,6,940,540,47.4942,-122.166,1090,0,6,36,36.0,0,11.13,0,0,0,1,0,1.3577981651376148
12203,570000.0,3,1.0,1700,1.5,0.0,6,1200,500,47.6819,-122.389,1550,0,3,106,106.0,0,5.68,0,0,0,0,1,1.096774193548387
12204,359950.0,2,1.0,1240,1.0,0.0,7,1040,200,47.7061,-122.34,1190,0,8,75,75.0,0,6.78,0,0,0,0,1,1.0420168067226891
12206,615000.0,3,2.5,1910,2.0,0.0,8,1910,0,47.6324,-122.11,2240,0,7,13,13.0,0,10.61,1,0,0,0,0,0.8526785714285714
12207,250000.0,4,2.0,2120,1.5,0.0,7,2120,0,47.3722,-122.30799999999999,1720,0,6,54,54.0,0,16.33,0,1,0,0,0,1.2325581395348837
12208,530000.0,4,2.5,3020,2.0,0.0,7,3020,0,47.5346,-121.881,2640,0,9,12,12.0,0,21.76,1,0,0,0,0,1.143939393939394
12210,490000.0,4,2.0,1650,2.0,0.0,7,1650,0,47.7117,-122.286,1650,0,2,68,68.0,0,7.52,0,0,0,0,1,1.0
12211,210000.0,2,1.5,880,2.0,0.0,7,880,0,47.5188,-122.376,1070,0,5,7,7.0,0,6.45,0,0,0,0,1,0.822429906542056
12212,265500.0,3,1.0,1860,1.0,0.0,7,1860,0,47.3904,-122.3,1740,0,11,57,57.0,0,15.11,0,0,1,0,0,1.0689655172413792
12214,310000.0,4,2.25,2192,2.0,0.0,8,2192,0,47.3644,-122.2,1914,0,6,8,8.0,0,17.96,0,0,1,0,0,1.1452455590386625
12215,324500.0,3,2.5,1590,2.0,0.0,7,1590,0,47.4832,-122.181,2160,0,4,12,12.0,0,11.22,0,0,0,1,0,0.7361111111111112
12217,525000.0,4,2.5,3670,2.0,0.0,10,3670,0,47.4617,-122.15899999999999,3300,0,7,9,9.0,0,13.02,0,0,0,1,0,1.112121212121212
12218,400000.0,3,1.0,1630,1.0,0.0,7,1630,0,47.7548,-122.31700000000001,1480,0,5,61,61.0,0,10.17,0,0,0,0,1,1.1013513513513513
12220,344000.0,2,1.0,1060,1.5,0.0,6,770,290,47.6896,-122.307,1820,0,7,82,82.0,0,5.78,0,0,0,0,1,0.5824175824175825
12221,525000.0,3,2.5,2700,2.0,0.0,9,2700,0,47.7434,-122.17399999999999,2660,0,5,23,23.0,0,11.98,1,0,0,0,0,1.0150375939849625
12222,385000.0,3,2.25,2110,2.0,0.0,8,2110,0,47.7311,-122.204,1740,0,8,39,39.0,0,10.46,1,0,0,0,0,1.2126436781609196
12223,820000.0,4,2.5,3720,2.0,0.0,10,3720,0,47.6085,-122.01299999999999,3515,0,12,15,15.0,0,15.0,1,0,0,0,0,1.058321479374111
12226,180000.0,3,1.0,1090,1.5,0.0,7,1090,0,47.5177,-122.353,1230,0,2,86,86.0,0,6.29,0,0,0,0,1,0.8861788617886179
12227,589000.0,4,2.5,2910,2.0,2.0,8,2910,0,47.5388,-121.87,2550,0,5,16,16.0,0,22.19,1,0,0,0,0,1.1411764705882352
12228,350000.0,3,1.0,1050,1.0,0.0,7,1050,0,47.5564,-122.27799999999999,1490,0,1,67,67.0,0,4.45,0,0,0,0,1,0.7046979865771812
12229,197400.0,3,2.0,1610,1.0,0.0,7,1110,500,47.333999999999996,-122.3,1920,0,4,50,50.0,0,18.99,0,1,0,0,0,0.8385416666666666
12230,267000.0,3,2.5,1760,2.0,0.0,8,1760,0,47.3731,-122.17200000000001,1890,0,8,28,28.0,0,17.92,0,0,1,0,0,0.9312169312169312
12232,650000.0,4,2.5,2580,1.0,0.0,8,1660,920,47.703,-122.28,2060,0,10,55,55.0,0,7.04,0,0,0,0,1,1.2524271844660195
12233,600000.0,2,1.0,1370,1.5,0.0,7,1370,0,47.6744,-122.383,1500,0,2,110,110.0,0,5.1,0,0,0,0,1,0.9133333333333333
12234,490000.0,2,1.75,1440,1.0,0.0,8,1440,0,47.7028,-122.01299999999999,1810,0,4,10,10.0,0,16.35,1,0,0,0,0,0.7955801104972375
12235,225000.0,3,1.0,1410,1.0,0.0,7,980,430,47.4577,-122.171,1510,0,11,52,52.0,0,12.89,0,0,0,1,0,0.9337748344370861
12236,640000.0,3,2.25,1980,1.0,0.0,8,1980,0,47.6384,-122.17399999999999,2800,0,7,55,55.0,0,7.79,1,0,0,0,0,0.7071428571428572
12237,710000.0,3,3.5,2440,2.0,0.0,7,1990,450,47.589,-122.165,2440,0,6,14,14.0,0,8.03,1,0,0,0,0,1.0
12240,128750.0,3,1.0,880,1.0,0.0,5,880,0,47.3019,-122.21600000000001,880,0,7,64,64.0,0,21.86,0,1,0,0,0,1.0
12241,465000.0,3,2.25,1920,1.0,0.0,7,1240,680,47.6078,-122.12799999999999,1920,0,10,53,53.0,0,9.64,1,0,0,0,0,1.0
12242,710000.0,4,1.75,2700,1.0,0.0,8,1450,1250,47.6838,-122.323,1760,0,7,77,77.0,0,5.26,0,0,0,0,1,1.5340909090909092
12243,605000.0,4,2.75,1670,1.0,0.0,7,840,830,47.5496,-122.385,1100,0,3,98,98.0,0,4.65,0,0,0,0,1,1.518181818181818
12245,489950.0,3,2.25,1820,2.0,0.0,8,1820,0,47.7133,-122.21700000000001,2430,0,6,31,31.0,0,9.11,1,0,0,0,0,0.7489711934156379
12246,365000.0,3,1.5,1310,1.0,0.0,7,1310,0,47.7291,-122.339,1090,0,5,64,64.0,0,8.36,0,0,0,0,1,1.201834862385321
12247,359950.0,3,2.0,1790,1.0,0.0,8,1790,0,47.3898,-122.154,2330,0,2,17,17.0,0,17.27,0,0,1,0,0,0.7682403433476395
12248,495000.0,4,2.5,2460,2.0,0.0,8,2460,0,47.4912,-122.145,2510,0,9,8,8.0,0,11.98,0,0,0,1,0,0.9800796812749004
12249,255000.0,3,1.5,1060,1.0,0.0,7,1060,0,47.4293,-122.15100000000001,1410,0,5,41,41.0,0,15.03,0,0,0,1,0,0.75177304964539
12250,330000.0,3,1.75,1340,1.0,0.0,7,1340,0,47.7207,-122.22200000000001,2950,0,8,53,53.0,0,9.39,1,0,0,0,0,0.4542372881355932
12251,450000.0,3,1.75,1480,1.0,0.0,8,1480,0,47.6634,-122.14399999999999,1920,0,7,43,43.0,0,9.68,1,0,0,0,0,0.7708333333333334
12252,655000.0,4,2.5,3500,2.0,2.0,9,3500,0,47.5428,-121.861,3180,0,3,10,10.0,0,22.54,1,0,0,0,0,1.10062893081761
12255,570000.0,4,2.5,2280,2.0,0.0,8,2280,0,47.5902,-122.01799999999999,2246,0,10,11,11.0,0,14.82,1,0,0,0,0,1.0151380231522706
12256,350000.0,3,2.25,1190,3.0,0.0,8,1190,0,47.6972,-122.34899999999999,1210,0,4,17,17.0,0,6.19,0,0,0,0,1,0.9834710743801653
12257,550000.0,3,1.0,1260,1.0,3.0,7,1260,0,47.5058,-122.384,2020,0,2,64,64.0,0,7.42,0,0,0,0,1,0.6237623762376238
12258,513000.0,5,2.0,2270,1.0,0.0,7,1150,1120,47.6692,-122.15100000000001,1950,0,7,49,49.0,0,9.55,1,0,0,0,0,1.1641025641025642
12259,450000.0,4,2.25,1990,1.0,0.0,7,1030,960,47.5237,-122.376,1320,0,12,49,49.0,0,6.12,0,0,0,0,1,1.5075757575757576
12260,432500.0,4,1.75,1500,1.0,0.0,7,750,750,47.5917,-122.296,1220,0,2,114,114.0,0,2.14,0,0,0,0,1,1.2295081967213115
12262,480000.0,3,2.25,1950,2.0,0.0,8,1950,0,47.7213,-122.11,1900,0,1,32,32.0,0,13.07,1,0,0,0,0,1.0263157894736843
12263,402200.0,3,1.75,1790,1.0,0.0,7,1330,460,47.7311,-122.226,1770,0,7,34,34.0,0,9.9,1,0,0,0,0,1.0112994350282485
12264,650000.0,3,1.0,1520,1.0,0.0,6,1520,0,47.5872,-122.196,2710,0,4,64,64.0,0,6.64,1,0,0,0,0,0.5608856088560885
12266,312000.0,3,2.0,2440,1.0,0.0,8,1440,1000,47.375,-122.227,2400,0,7,37,37.0,0,16.86,0,0,1,0,0,1.0166666666666666
12267,610000.0,4,2.0,2220,1.5,0.0,7,1380,840,47.5723,-122.382,1850,0,4,99,99.0,0,3.29,0,0,0,0,1,1.2
12268,823000.0,5,1.75,2640,1.5,0.0,7,1650,990,47.6802,-122.361,1750,0,3,100,100.0,0,5.13,0,0,0,0,1,1.5085714285714287
12269,471000.0,4,1.75,1450,1.0,0.0,7,950,500,47.6706,-122.3,1850,0,11,89,89.0,0,4.62,0,0,0,0,1,0.7837837837837838
12270,481015.0,3,2.25,1550,2.0,0.0,8,1550,0,47.6946,-122.185,1620,0,7,27,27.0,0,9.19,1,0,0,0,0,0.9567901234567902
12272,624000.0,4,3.25,2810,1.0,0.0,8,1680,1130,47.692,-122.09899999999999,2110,0,9,34,34.0,0,12.42,1,0,0,0,0,1.3317535545023698
12273,480000.0,4,2.5,2080,1.0,0.0,7,1200,880,47.7393,-122.181,1920,0,3,45,45.0,0,11.56,1,0,0,0,0,1.0833333333333333
12274,815000.0,3,1.5,1370,1.0,0.0,7,1370,0,47.6217,-122.198,1580,0,7,59,59.0,0,6.45,1,0,0,0,0,0.8670886075949367
12277,156601.0,2,1.75,1210,1.0,0.0,7,1210,0,47.3438,-122.037,1650,0,2,31,31.0,0,22.94,0,0,1,0,0,0.7333333333333333
12278,374950.0,4,2.5,2790,2.0,0.0,8,2790,0,47.3557,-122.02600000000001,2850,0,7,10,10.0,0,22.62,0,0,1,0,0,0.9789473684210527
12279,368000.0,2,1.5,1660,1.0,0.0,6,830,830,47.5134,-122.38799999999999,1930,0,5,106,106.0,0,6.98,0,0,0,0,1,0.8601036269430051
12280,550000.0,3,2.0,1650,2.0,0.0,7,1650,0,47.6727,-122.33,1210,0,12,64,64.0,0,4.47,0,0,0,0,1,1.3636363636363635
12281,198000.0,3,1.75,1300,1.0,0.0,7,1300,0,47.2752,-122.251,1150,0,7,34,34.0,0,23.31,0,1,0,0,0,1.1304347826086956
12282,345000.0,3,1.75,1090,1.0,0.0,7,1090,0,47.7227,-122.179,1240,0,5,46,46.0,0,10.74,1,0,0,0,0,0.8790322580645161
12284,185900.0,3,1.0,940,1.0,0.0,5,940,0,47.2763,-122.257,1370,0,1,106,106.0,0,23.19,0,1,0,0,0,0.6861313868613139
12287,345000.0,2,1.0,860,1.0,0.0,7,860,0,47.7132,-122.334,1780,0,8,74,74.0,0,7.26,0,0,0,0,1,0.48314606741573035
12288,741000.0,4,2.75,2070,1.0,0.0,7,1390,680,47.5697,-122.219,1850,0,11,52,52.0,0,6.02,1,0,0,0,0,1.1189189189189188
12289,737000.0,2,2.25,2290,1.0,0.0,8,2290,0,47.7199,-122.025,1810,0,7,7,7.0,0,16.36,1,0,0,0,0,1.2651933701657458
12290,668750.0,4,2.5,2340,1.0,2.0,8,1590,750,47.7728,-122.38600000000001,2110,0,5,50,50.0,0,11.62,0,0,0,0,1,1.1090047393364928
12292,280000.0,4,2.0,1710,1.0,0.0,8,1030,680,47.36600000000001,-122.09299999999999,1620,0,10,38,38.0,0,20.17,0,0,1,0,0,1.0555555555555556
12293,583000.0,3,1.5,1800,1.0,0.0,7,1800,0,47.6344,-122.126,1610,0,8,59,59.0,0,9.9,1,0,0,0,0,1.1180124223602483
12294,196000.0,3,2.25,1510,1.0,0.0,7,1090,420,47.7758,-122.238,1870,0,1,49,49.0,0,12.43,1,0,0,0,0,0.8074866310160428
12295,349950.0,3,2.5,1700,2.0,0.0,8,1700,0,47.431999999999995,-122.189,2280,0,5,20,20.0,0,13.93,0,0,0,1,0,0.7456140350877193
12296,429000.0,4,1.0,1350,1.5,0.0,7,1350,0,47.6727,-122.397,1530,0,12,102,102.0,0,5.31,0,0,0,0,1,0.8823529411764706
12297,270000.0,5,2.5,2140,1.0,0.0,7,1330,810,47.3927,-122.194,2050,0,2,48,48.0,0,16.26,0,0,1,0,0,1.0439024390243903
12299,535000.0,1,1.0,920,1.0,3.0,7,920,0,47.6748,-122.352,1890,0,9,108,108.0,0,4.68,0,0,0,0,1,0.48677248677248675
12300,352500.0,3,1.75,1500,1.0,0.0,7,1030,470,47.7672,-122.348,2090,0,4,57,57.0,0,11.01,0,0,0,0,1,0.7177033492822966
12301,624000.0,3,1.75,1510,1.0,0.0,7,860,650,47.6864,-122.365,1650,0,3,93,93.0,0,5.59,0,0,0,0,1,0.9151515151515152
12302,215000.0,5,1.5,1980,1.5,0.0,7,1980,0,47.4571,-122.17,1510,0,12,52,52.0,0,12.96,0,0,0,1,0,1.3112582781456954
12304,440000.0,4,2.5,3220,2.0,0.0,8,2610,610,47.495,-122.155,2500,0,7,8,8.0,0,11.46,0,0,0,1,0,1.288
12305,518000.0,2,1.5,1140,2.0,0.0,7,940,200,47.6124,-122.314,1460,0,5,14,14.0,0,1.03,0,0,0,0,1,0.7808219178082192
12306,259500.0,3,2.25,1490,2.0,0.0,7,1490,0,47.3474,-122.037,1510,0,3,22,22.0,0,22.75,0,0,1,0,0,0.9867549668874173
12308,290000.0,3,1.0,960,1.0,0.0,7,960,0,47.5765,-122.154,1520,0,8,59,59.0,0,8.71,1,0,0,0,0,0.631578947368421
